"1","Design Parquet","Design Parquet"
"2","Austriawood & Co","A Wood GmbH"
"3","Bolefloor","Bolefloor B.V."
"4","Deisl Parkettmanufaktur","Manfred Deisl GmbH"
"5","Solidfloor","Fetim Group"
"6","Flexxfloors","Fetim Group"
"7","Cleanfloor","Fetim Group"
"8","Mareiner Holz","Mareiner Holz GmbH"
"9","Admonter","STIA Holzindustrie GmbH"
"10","Mountain Floor","STIA Holzindustrie GmbH"
"11","Oldenburger Parkettwerk","Oldenburger Parkettwerk"
"12","Granorte","Granorte"
"13","Exterpark","YVYRA"
"14","Bolon","Bolon AB"
"15","Fairholz","Fairholz GmbH"
"16","Schober","Markus Schober Innenausbau & Bodendielen GmbH"
